population,popchange
5432,-1
6984,8
6439,11
8842,21
5903,0
1447,-6
7546,7
5163,15
6792,46
4443,-2
4039,-1
3433,-3
4301,0
1360,-2
10061,49
7139,3
5264,-4
3924,-3
4902,-2
5518,-1
4047,-2
5710,21862
6960,5
3580,-6
3279,2
7219,-2
2693,-2
8095,12
10038,20
2569,2
3324,3
3593,1
4294,5
3858,52
11859,45
3919,-2
5345,0
4178,1
7034,8
5533,15
3489,-1
1953,-2
3395,31
4995,27
8186,34
4502,1
4880,2
2657,5
4459,-3
8032,13
3016,-4
3397,-1
6328,-2
7218,0
4306,-4
5412,-7
3538,22
5985,-3
7003,36
5033,0
3744,-1
5583,-2
3113,-2
4739,1
4394,-1
4326,-2
5031,-4
5397,19
6514,5
6903,-3
1516,0
4773,26
6781,-1
3626,7
4979,-10
3457,19
3785,-2
4896,0
2604,-4
5692,-1
4865,-1
4615,3
5471,-6
1230,-4
6430,4
1801,1
5634,7
6666,4
3907,0
4147,-5
5158,6
4202,9
2732,-1
8276,7
657,5
3416,2
3359,1
8345,35
4186,-3
4050,1
8065,54
4257,0
5425,2
5162,5
4432,1
2479,-1
3624,-1
5479,54690
6902,8
3688,-1
5697,-5
6909,3
7222,17
6576,3
5030,2
3831,-16
3755,-36
6823,-2
2088,29
4449,7
3893,-3
7281,2
7215,3
6967,0
3637,-2
6495,10
2344,0
2130,0
6518,6
6130,-1
7898,198
4168,11
2731,-3
13530,110
5902,7
4712,-3
3940,6
2420,-2
4997,5
2151,-2
2597,0
3632,-1
4721,1
4776,0
7266,2
6035,-2
6114,-4
4486,1
7854,18
6073,21
3880,5
7177,-3
3723,2
6590,3
6772,6
4461,1
4562,0
3103,0
6378,-6
7424,3
4892,1
3201,-6
7420,8
3059,5
6446,-4
4133,9
5967,-2
3612,-3
5630,1
5040,9
6785,2
6475,14
4984,-1
5450,-3
3587,-1
4290,8
7760,17
4682,0
3992,2
1255,2
6279,1
4034,-2
9077,11
1743,4
5073,0
5051,20
4229,-1
4683,1
6817,2
2301,-6
5983,6
4189,0
7855,19
6543,4
4811,14
7334,8
3668,2
3804,-1
5795,74
2734,0
4675,-16
3500,-4
6063,35
6110,2
5332,4
4588,-1
4375,4
6842,14
5271,-10
4812,-3
2792,-1
4402,-10
2096,1
4527,1
4065,1
2523,-14
7431,-4
7364,1
2365,-11
5873,6
3725,16
5134,2
5137,11
3122,2
5207,16
7161,-2
6176,6
6135,1
3683,3
3996,3
3931,3
5000,0
6914,-3
5055,-1
8280,-1
4813,5
5568,27
4536,-1
5405,-1
6313,-2
2819,-2
4364,3
4864,1
5724,-1
7113,9
4855,-3
4399,41
5894,4
4023,3
5735,-3
5613,51
7253,34
6419,7
5124,3
3641,4
5118,5
2263,5
5074,2
3788,0
6846,7
6014,8
3130,-5
4248,-2
3017,-4
4890,-2
4586,0
3688,-1
2749,-2
3950,-2
5510,8
3888,-3
8706,17
7479,15
7300,82
6009,5
6772,-3
4744,2
5432,8
3605,1
1604,42
7088,4
4888,3
3251,-1
4734,8
4474,-4
4915,9
6593,2
3598,5
6509,4
6864,3
4504,20
5426,-1
2861,3
4464,26
2406,2
4339,-2
4301,6
6810,45
5256,-1
5884,1
4029,8
6016,6
4785,27
6276,16
3496,8
3819,4
7058,0
5416,-2
3132,1
5264,-6
6475,6
2951,11
3183,-2
3972,3
3990,1
3767,-1
5367,6
4485,2
4968,-6
4249,6
5387,-2
3032,-4
10205,0
3452,10
5737,4
5565,9
5115,2
7061,-3
3899,-2
6571,4
3976,-2
3905,5
3232,10
6652,1
2788,3
7409,7
7886,17
3393,-9
4267,4
3316,-33
4290,-5
5576,-1
5246,0
5587,-5
9353,60
5247,2
4054,-2
6541,1
17558,41
3394,17
5513,3
2866,-2
6189,0
5874,6
5565,2
4778,0
2938,-5
5034,4
5312,5
7135,19
7009,1
5431,-3
6057,0
5566,3
4343,0
2240,-18
4451,2
2413,-2
2942,-1
5631,2
4833,3
12037,79
6517,-8
6923,7
2677,3
4610,-4
4225,-4
7027,-3
6236,4
6928,-1
10567,27
6458,1
3367,-3
3900,8
3868,-4
3886,7
3459,2
3336,2
4350,12
6448,48
5961,-1
4257,9
6866,7
4214,1
2202,4
8809,27
7085,-3
4691,6
5870,9
2128,3
5976,11
3120,-2
5323,0
2770,-5
4268,4
3685,-2
4532,0
8371,30
6551,2
5152,11
515,2475
3880,20
6942,32
6118,9
4733,9
7213,-1
5072,-1
6137,-6
4475,-3
4904,3
3233,3
4948,1
3411,24
2400,14
6565,6
3641,1
3800,3
7460,3
3414,1
6407,77
7911,37571
5072,-4
3224,15
2352,14
26183,111
3929,-10
4514,4
3452,-4
4718,-4
6923,3
3858,58
5761,2
3839,0
4846,0
3092,-1
5293,-1
4776,-3
5586,3
4470,0
4247,2
6323,11
4190,5
7324,64
6691,3
1427,-4
6064,-2
5791,2
2610,164
6325,35
4034,7
5977,0
8498,10
5618,4
6272,0
3233,4
6461,20
3409,-1
4940,6
2317,8
6015,2
6795,-1
5816,7
5278,-1
4621,10
5655,-3
5810,-6
6467,8
3596,16
6869,1
4871,-1
6650,3
4865,50
3627,-1
5682,-4
6676,8
6814,44
4508,1
6742,-2
4052,2
5526,-2
5171,2
5084,-3
4596,18
6264,-1
5595,-1
3943,13
7703,5
2822,17
5716,8
9200,50
3127,5
10772,277
6883,8
3265,0
4199,303
6990,60
3601,3
3803,3
8626,30
4728,-1
2527,5
6331,0
3731,-1
6409,0
5522,0
5869,2
5473,0
3460,-1
3978,-4
7948,17
2776,7
2643,2
7311,35
2605,-1
5496,-1
11832,161
5412,1
7398,0
3627,-3
5874,4
4903,-3
6739,-1
4918,-2
3934,10
5771,2
5133,4
6999,1
6318,2
3441,4
5637,-4
4308,2
7336,18
4550,0
6131,0
5639,-3
3172,-3
1924,-7
6218,10
5782,5
3230,-3
5852,15
7473,-1
5782,-2
1741,3
6747,3
3737,-8
4027,1
5987,3
5460,-1
5800,1
1625,-1
4194,0
4540,-5
4028,0
